CHECK_A,DURATION,C_HIST,PURPOSE,AMOUNT,SAVE_A,EMPLOY,INSTALL_R,PERSONAL,GUARANTEE,RESIDENCE,PROPERTY,AGE,INSTALL_P,HOUSING,N_EXIST,JOB,N_PEOPLE,TEL,FOREIGN,CREDIT
0to200DM,24,delay_in_past,furn_equip,2333,NO_SAVINGS_ACC,LT_1YR,4,MALE_SINGLE,none,2,savings,29,bank,own,1,unskilled_res,1,none,yes,0
0to200DM,27,delay_in_past,car_used,5965,lt_100DM,GT_7YR,1,MALE_SINGLE,none,2,vehicle,30,none,own,2,mgmt_selfemp,1,yes,yes,0
NO_CHECK_A,12,existing_paid,radio_tv,1262,lt_100DM,1to4YR,3,MALE_SINGLE,none,2,vehicle,25,none,own,1,skilled_office,1,none,yes,0
NO_CHECK_A,18,existing_paid,car_used,3378,NO_SAVINGS_ACC,1to4YR,2,MALE_SINGLE,none,1,savings,31,none,own,1,skilled_office,1,yes,yes,0
0to200DM,36,delay_in_past,car_new,2225,lt_100DM,GT_7YR,4,MALE_SINGLE,none,4,no_property,57,bank,for_free,2,skilled_office,1,yes,yes,1
NO_CHECK_A,6,credit_thisbank_paid,car_new,783,NO_SAVINGS_ACC,1to4YR,1,MALE_SINGLE,guarantor,2,real_estate,26,stores,own,1,unskilled_res,2,none,yes,0
0to200DM,12,existing_paid,radio_tv,6468,NO_SAVINGS_ACC,unemployed,2,MALE_SINGLE,none,1,no_property,52,none,own,1,mgmt_selfemp,1,yes,yes,1
NO_CHECK_A,36,critical_acc,radio_tv,9566,lt_100DM,1to4YR,2,FEMALE_DIVORCED,none,2,vehicle,31,stores,own,2,skilled_office,1,none,yes,0
GT_200DM,18,existing_paid,car_new,1961,lt_100DM,GT_7YR,3,FEMALE_DIVORCED,none,2,vehicle,23,none,own,1,mgmt_selfemp,1,none,yes,0
LT_0DM,36,critical_acc,furn_equip,6229,lt_100DM,LT_1YR,4,FEMALE_DIVORCED,co-applicant,4,no_property,23,none,rent,2,unskilled_res,1,yes,yes,1
0to200DM,9,existing_paid,business,1391,lt_100DM,1to4YR,2,MALE_MARRIED,none,1,real_estate,27,bank,own,1,skilled_office,1,yes,yes,0
0to200DM,15,critical_acc,radio_tv,1537,NO_SAVINGS_ACC,GT_7YR,4,MALE_SINGLE,guarantor,4,real_estate,50,none,own,2,skilled_office,1,yes,yes,0
0to200DM,36,no_credit,business,1953,lt_100DM,GT_7YR,4,MALE_SINGLE,none,4,no_property,61,none,for_free,1,mgmt_selfemp,1,yes,yes,1
0to200DM,48,no_credit,business,14421,lt_100DM,1to4YR,2,MALE_SINGLE,none,2,vehicle,25,none,own,1,skilled_office,1,yes,yes,1
NO_CHECK_A,24,existing_paid,radio_tv,3181,lt_100DM,LT_1YR,4,FEMALE_DIVORCED,none,4,savings,26,none,own,1,skilled_office,1,yes,yes,0
NO_CHECK_A,27,existing_paid,repairs,5190,NO_SAVINGS_ACC,GT_7YR,4,MALE_SINGLE,none,4,savings,48,none,own,4,skilled_office,2,yes,yes,0
NO_CHECK_A,12,existing_paid,radio_tv,2171,lt_100DM,LT_1YR,2,FEMALE_DIVORCED,none,2,vehicle,29,bank,own,1,skilled_office,1,none,yes,0
0to200DM,12,existing_paid,car_new,1007,GT_1000DM,1to4YR,4,MALE_MARRIED,none,1,real_estate,22,none,own,1,skilled_office,1,none,yes,0
NO_CHECK_A,36,existing_paid,education,1819,lt_100DM,1to4YR,4,MALE_SINGLE,none,4,no_property,37,stores,for_free,1,skilled_office,1,yes,yes,1
NO_CHECK_A,36,existing_paid,radio_tv,2394,NO_SAVINGS_ACC,1to4YR,4,FEMALE_DIVORCED,none,4,vehicle,25,none,own,1,skilled_office,1,none,yes,0
NO_CHECK_A,36,existing_paid,car_used,8133,lt_100DM,1to4YR,1,FEMALE_DIVORCED,none,2,savings,30,bank,own,1,skilled_office,1,none,yes,0
NO_CHECK_A,7,critical_acc,radio_tv,730,NO_SAVINGS_ACC,GT_7YR,4,MALE_SINGLE,none,2,savings,46,none,rent,2,unskilled_res,1,yes,yes,0
LT_0DM,8,critical_acc,car_used0,1164,lt_100DM,GT_7YR,3,MALE_SINGLE,none,4,no_property,51,bank,for_free,2,mgmt_selfemp,2,yes,yes,0
0to200DM,42,critical_acc,business,5954,lt_100DM,4to7YR,2,FEMALE_DIVORCED,none,1,real_estate,41,bank,own,2,unskilled_res,1,none,yes,0
LT_0DM,36,existing_paid,education,1977,NO_SAVINGS_ACC,GT_7YR,4,MALE_SINGLE,none,4,no_property,40,none,own,1,mgmt_selfemp,1,yes,yes,1
LT_0DM,12,critical_acc,car_used,1526,lt_100DM,GT_7YR,4,MALE_SINGLE,none,4,no_property,66,none,for_free,2,mgmt_selfemp,1,none,yes,0
LT_0DM,42,existing_paid,radio_tv,3965,lt_100DM,LT_1YR,4,MALE_SINGLE,none,3,vehicle,34,none,own,1,skilled_office,1,none,yes,1
0to200DM,11,delay_in_past,radio_tv,4771,lt_100DM,4to7YR,2,MALE_SINGLE,none,4,savings,51,none,own,1,skilled_office,1,none,yes,0
NO_CHECK_A,54,no_credit,car_used,9436,NO_SAVINGS_ACC,1to4YR,2,MALE_SINGLE,none,2,savings,39,none,own,1,unskilled_res,2,none,yes,0
0to200DM,30,existing_paid,furn_equip,3832,lt_100DM,LT_1YR,2,MALE_MARRIED,none,1,savings,22,none,own,1,skilled_office,1,none,yes,0
NO_CHECK_A,24,existing_paid,radio_tv,5943,NO_SAVINGS_ACC,LT_1YR,1,FEMALE_DIVORCED,none,1,vehicle,44,none,own,2,skilled_office,1,yes,yes,1
NO_CHECK_A,15,existing_paid,radio_tv,1213,500_1000DM,GT_7YR,4,MALE_SINGLE,none,3,savings,47,stores,own,1,skilled_office,1,yes,yes,0
NO_CHECK_A,18,existing_paid,business,1568,100_500DM,1to4YR,3,FEMALE_DIVORCED,none,4,savings,24,none,rent,1,unskilled_res,1,none,yes,0
LT_0DM,24,existing_paid,car_used0,1755,lt_100DM,GT_7YR,4,FEMALE_DIVORCED,guarantor,4,real_estate,58,none,own,1,unskilled_res,1,yes,yes,0
LT_0DM,10,existing_paid,radio_tv,2315,lt_100DM,GT_7YR,3,MALE_SINGLE,none,4,real_estate,52,none,own,1,unskilled_res,1,none,yes,0
NO_CHECK_A,12,critical_acc,business,1412,lt_100DM,1to4YR,4,FEMALE_DIVORCED,guarantor,2,real_estate,29,none,own,2,mgmt_selfemp,1,yes,yes,0
0to200DM,18,critical_acc,furn_equip,1295,lt_100DM,LT_1YR,4,FEMALE_DIVORCED,none,1,savings,27,none,own,2,skilled_office,1,none,yes,0
0to200DM,36,existing_paid,education,12612,100_500DM,1to4YR,1,MALE_SINGLE,none,4,no_property,47,none,for_free,1,skilled_office,2,yes,yes,1
LT_0DM,18,existing_paid,car_new,2249,100_500DM,4to7YR,4,MALE_SINGLE,none,3,vehicle,30,none,own,1,mgmt_selfemp,2,yes,yes,0
LT_0DM,12,no_credit,repairs,1108,lt_100DM,4to7YR,4,MALE_SINGLE,none,3,real_estate,28,none,own,2,skilled_office,1,none,yes,1
NO_CHECK_A,12,critical_acc,radio_tv,618,lt_100DM,GT_7YR,4,MALE_SINGLE,none,4,real_estate,56,none,own,1,skilled_office,1,none,yes,0
LT_0DM,12,critical_acc,car_used,1409,lt_100DM,GT_7YR,4,MALE_SINGLE,none,3,real_estate,54,none,own,1,skilled_office,1,none,yes,0
NO_CHECK_A,12,critical_acc,radio_tv,797,NO_SAVINGS_ACC,GT_7YR,4,FEMALE_DIVORCED,none,3,savings,33,bank,own,1,unskilled_res,2,none,yes,1
GT_200DM,24,critical_acc,furn_equip,3617,NO_SAVINGS_ACC,GT_7YR,4,MALE_SINGLE,co-applicant,4,no_property,20,none,rent,2,skilled_office,1,none,yes,0
0to200DM,12,existing_paid,car_new,1318,GT_1000DM,GT_7YR,4,MALE_SINGLE,none,4,real_estate,54,none,own,1,skilled_office,1,yes,yes,0
0to200DM,54,no_credit,business,15945,lt_100DM,LT_1YR,3,MALE_SINGLE,none,4,no_property,58,none,rent,1,skilled_office,1,yes,yes,1
NO_CHECK_A,12,critical_acc,education,2012,NO_SAVINGS_ACC,4to7YR,4,FEMALE_DIVORCED,none,2,vehicle,61,none,own,1,skilled_office,1,none,yes,0
0to200DM,18,existing_paid,business,2622,100_500DM,1to4YR,4,MALE_SINGLE,none,4,vehicle,34,none,own,1,skilled_office,1,none,yes,0
0to200DM,36,critical_acc,radio_tv,2337,lt_100DM,GT_7YR,4,MALE_SINGLE,none,4,real_estate,36,none,own,1,skilled_office,1,none,yes,0
0to200DM,20,delay_in_past,car_used,7057,NO_SAVINGS_ACC,4to7YR,3,MALE_SINGLE,none,4,savings,36,bank,rent,2,mgmt_selfemp,2,yes,yes,0
NO_CHECK_A,24,existing_paid,car_new,1469,100_500DM,GT_7YR,4,MALE_MARRIED,none,4,real_estate,41,none,rent,1,unskilled_res,1,none,yes,0
0to200DM,36,existing_paid,radio_tv,2323,lt_100DM,4to7YR,4,MALE_SINGLE,none,4,vehicle,24,none,rent,1,skilled_office,1,none,yes,0
NO_CHECK_A,6,delay_in_past,radio_tv,932,lt_100DM,1to4YR,3,FEMALE_DIVORCED,none,2,real_estate,24,none,own,1,skilled_office,1,none,yes,0
0to200DM,9,critical_acc,furn_equip,1919,lt_100DM,4to7YR,4,MALE_SINGLE,none,3,vehicle,35,none,rent,1,skilled_office,1,yes,yes,0
NO_CHECK_A,12,existing_paid,car_used,2445,NO_SAVINGS_ACC,LT_1YR,2,MALE_MARRIED,none,4,vehicle,26,none,rent,1,skilled_office,1,yes,yes,0
0to200DM,24,critical_acc,car_used0,11938,lt_100DM,1to4YR,2,MALE_SINGLE,co-applicant,3,vehicle,39,none,own,2,mgmt_selfemp,2,yes,yes,1
NO_CHECK_A,18,credit_thisbank_paid,car_new,6458,lt_100DM,GT_7YR,2,MALE_SINGLE,none,4,no_property,39,bank,own,2,mgmt_selfemp,2,yes,yes,1
0to200DM,12,existing_paid,car_new,6078,lt_100DM,4to7YR,2,MALE_SINGLE,none,2,vehicle,32,none,own,1,skilled_office,1,none,yes,0
LT_0DM,24,existing_paid,furn_equip,7721,NO_SAVINGS_ACC,LT_1YR,1,FEMALE_DIVORCED,none,2,savings,30,none,own,1,skilled_office,1,yes,no,0
0to200DM,14,existing_paid,business,1410,500_1000DM,GT_7YR,1,MALE_MARRIED,none,2,real_estate,35,none,own,1,skilled_office,1,yes,yes,0
0to200DM,6,delay_in_past,business,1449,100_500DM,GT_7YR,1,MALE_DIVORCED,none,2,vehicle,31,bank,own,2,skilled_office,2,none,yes,0
GT_200DM,15,existing_paid,education,392,lt_100DM,LT_1YR,4,FEMALE_DIVORCED,none,4,savings,23,none,rent,1,skilled_office,1,yes,yes,0
0to200DM,18,existing_paid,car_new,6260,lt_100DM,4to7YR,3,MALE_SINGLE,none,3,real_estate,28,none,rent,1,unskilled_res,1,none,yes,0
NO_CHECK_A,36,critical_acc,car_new,7855,lt_100DM,1to4YR,4,FEMALE_DIVORCED,none,2,real_estate,25,stores,own,2,skilled_office,1,yes,yes,1
LT_0DM,12,existing_paid,radio_tv,1680,500_1000DM,GT_7YR,3,MALE_MARRIED,none,1,real_estate,35,none,own,1,skilled_office,1,none,yes,0
NO_CHECK_A,48,critical_acc,radio_tv,3578,NO_SAVINGS_ACC,GT_7YR,4,MALE_SINGLE,none,1,real_estate,47,none,own,1,skilled_office,1,yes,yes,0
LT_0DM,42,existing_paid,radio_tv,7174,NO_SAVINGS_ACC,4to7YR,4,FEMALE_DIVORCED,none,3,vehicle,30,none,own,1,mgmt_selfemp,1,yes,yes,1
LT_0DM,10,critical_acc,furn_equip,2132,NO_SAVINGS_ACC,LT_1YR,2,FEMALE_DIVORCED,co-applicant,3,real_estate,27,none,rent,2,skilled_office,1,none,no,0
LT_0DM,33,critical_acc,furn_equip,4281,500_1000DM,1to4YR,1,FEMALE_DIVORCED,none,4,vehicle,23,none,own,2,skilled_office,1,none,yes,1
0to200DM,12,critical_acc,car_new,2366,500_1000DM,4to7YR,3,MALE_DIVORCED,none,3,vehicle,36,none,own,1,mgmt_selfemp,1,yes,yes,0
LT_0DM,21,existing_paid,radio_tv,1835,lt_100DM,1to4YR,3,FEMALE_DIVORCED,none,2,real_estate,25,none,own,2,skilled_office,1,yes,yes,1
NO_CHECK_A,24,critical_acc,car_used,3868,lt_100DM,GT_7YR,4,FEMALE_DIVORCED,none,2,vehicle,41,none,rent,2,mgmt_selfemp,1,yes,yes,0
NO_CHECK_A,12,existing_paid,furn_equip,1768,lt_100DM,1to4YR,3,MALE_SINGLE,none,2,real_estate,24,none,rent,1,unskilled_res,1,none,yes,0
GT_200DM,10,critical_acc,car_new,781,lt_100DM,GT_7YR,4,MALE_SINGLE,none,4,no_property,63,none,for_free,2,skilled_office,1,yes,yes,0
0to200DM,18,existing_paid,furn_equip,1924,NO_SAVINGS_ACC,LT_1YR,4,FEMALE_DIVORCED,none,3,real_estate,27,none,rent,1,skilled_office,1,none,yes,1
LT_0DM,12,critical_acc,car_new,2121,lt_100DM,1to4YR,4,MALE_SINGLE,none,2,savings,30,none,own,2,skilled_office,1,none,yes,0
LT_0DM,12,existing_paid,radio_tv,701,lt_100DM,1to4YR,4,MALE_MARRIED,none,2,real_estate,40,none,own,1,unskilled_res,1,none,yes,0
0to200DM,12,existing_paid,repairs,639,lt_100DM,1to4YR,4,MALE_SINGLE,none,2,vehicle,30,none,own,1,skilled_office,1,none,yes,1
0to200DM,12,critical_acc,car_used,1860,lt_100DM,unemployed,4,MALE_SINGLE,none,2,vehicle,34,none,own,2,mgmt_selfemp,1,yes,yes,0
LT_0DM,12,critical_acc,car_new,3499,lt_100DM,1to4YR,3,FEMALE_DIVORCED,co-applicant,2,real_estate,29,none,own,2,skilled_office,1,none,yes,1
0to200DM,48,existing_paid,car_new,8487,NO_SAVINGS_ACC,4to7YR,1,FEMALE_DIVORCED,none,2,vehicle,24,none,own,1,skilled_office,1,none,yes,0
LT_0DM,36,delay_in_past,education,6887,lt_100DM,1to4YR,4,MALE_SINGLE,none,3,savings,29,stores,own,1,skilled_office,1,yes,yes,1
NO_CHECK_A,15,existing_paid,furn_equip,2708,lt_100DM,LT_1YR,2,MALE_SINGLE,none,3,savings,27,bank,own,2,unskilled_res,1,none,yes,0
NO_CHECK_A,18,existing_paid,furn_equip,1984,lt_100DM,1to4YR,4,MALE_SINGLE,none,4,no_property,47,bank,for_free,2,skilled_office,1,none,yes,0
NO_CHECK_A,60,existing_paid,radio_tv,10144,100_500DM,4to7YR,2,FEMALE_DIVORCED,none,4,real_estate,21,none,own,1,skilled_office,1,yes,yes,0
NO_CHECK_A,12,critical_acc,radio_tv,1240,NO_SAVINGS_ACC,GT_7YR,4,FEMALE_DIVORCED,none,2,real_estate,38,none,own,2,skilled_office,1,yes,yes,0
NO_CHECK_A,27,delay_in_past,car_used,8613,GT_1000DM,1to4YR,2,MALE_SINGLE,none,2,vehicle,27,none,own,2,skilled_office,1,none,yes,0
0to200DM,12,existing_paid,radio_tv,766,500_1000DM,1to4YR,4,MALE_SINGLE,none,3,real_estate,66,none,own,1,unskilled_res,1,none,yes,1
0to200DM,15,critical_acc,radio_tv,2728,NO_SAVINGS_ACC,4to7YR,4,MALE_SINGLE,guarantor,2,real_estate,35,bank,own,3,skilled_office,1,yes,yes,0
GT_200DM,12,existing_paid,radio_tv,1881,lt_100DM,1to4YR,2,FEMALE_DIVORCED,none,2,vehicle,44,none,rent,1,unskilled_res,1,yes,yes,0
GT_200DM,6,existing_paid,car_new,709,GT_1000DM,LT_1YR,2,MALE_MARRIED,none,2,real_estate,27,none,own,1,unskilled_non_res,1,none,no,0
0to200DM,36,existing_paid,radio_tv,4795,lt_100DM,LT_1YR,4,FEMALE_DIVORCED,none,1,no_property,30,none,own,1,mgmt_selfemp,1,yes,yes,0
LT_0DM,27,existing_paid,radio_tv,3416,lt_100DM,1to4YR,3,MALE_SINGLE,none,2,vehicle,27,none,own,1,mgmt_selfemp,1,none,yes,0
LT_0DM,18,existing_paid,furn_equip,2462,lt_100DM,1to4YR,2,MALE_SINGLE,none,2,vehicle,22,none,own,1,skilled_office,1,none,yes,1
NO_CHECK_A,21,critical_acc,furn_equip,2288,lt_100DM,LT_1YR,4,FEMALE_DIVORCED,none,4,savings,23,none,own,1,skilled_office,1,yes,yes,0
0to200DM,48,credit_thisbank_paid,business,3566,100_500DM,4to7YR,4,MALE_SINGLE,none,2,vehicle,30,none,own,1,skilled_office,1,none,yes,0
LT_0DM,6,critical_acc,car_new,860,lt_100DM,GT_7YR,1,FEMALE_DIVORCED,none,4,no_property,39,none,own,2,skilled_office,1,yes,yes,0
NO_CHECK_A,12,critical_acc,car_new,682,100_500DM,4to7YR,4,FEMALE_DIVORCED,none,3,vehicle,51,none,own,2,skilled_office,1,yes,yes,0
LT_0DM,36,critical_acc,furn_equip,5371,lt_100DM,1to4YR,3,MALE_SINGLE,guarantor,2,savings,28,none,own,2,skilled_office,1,none,yes,0
NO_CHECK_A,18,critical_acc,radio_tv,1582,GT_1000DM,GT_7YR,4,MALE_SINGLE,none,4,vehicle,46,none,own,2,skilled_office,1,none,yes,0
NO_CHECK_A,6,existing_paid,radio_tv,1346,100_500DM,GT_7YR,2,MALE_SINGLE,none,4,no_property,42,bank,for_free,1,skilled_office,2,yes,yes,0
NO_CHECK_A,10,existing_paid,radio_tv,1924,lt_100DM,1to4YR,1,MALE_SINGLE,none,4,savings,38,none,own,1,skilled_office,1,yes,no,0
GT_200DM,36,existing_paid,radio_tv,5848,lt_100DM,1to4YR,4,MALE_SINGLE,none,1,vehicle,24,none,own,1,skilled_office,1,none,yes,0
0to200DM,24,critical_acc,car_used,7758,GT_1000DM,GT_7YR,2,FEMALE_DIVORCED,none,4,no_property,29,none,rent,1,skilled_office,1,none,yes,0
0to200DM,24,delay_in_past,business,6967,100_500DM,4to7YR,4,MALE_SINGLE,none,4,vehicle,36,none,rent,1,mgmt_selfemp,1,yes,yes,0
LT_0DM,12,existing_paid,furn_equip,1282,lt_100DM,1to4YR,2,FEMALE_DIVORCED,none,4,vehicle,20,none,rent,1,skilled_office,1,none,yes,1
LT_0DM,9,critical_acc,repairs,1288,100_500DM,GT_7YR,3,MALE_SINGLE,guarantor,4,real_estate,48,none,own,2,skilled_office,2,none,no,0
LT_0DM,12,credit_thisbank_paid,retrain,339,lt_100DM,GT_7YR,4,MALE_MARRIED,none,1,vehicle,45,bank,own,1,unskilled_res,1,none,yes,0
0to200DM,24,existing_paid,car_new,3512,100_500DM,4to7YR,2,MALE_SINGLE,none,3,vehicle,38,bank,own,2,skilled_office,1,yes,yes,0
NO_CHECK_A,6,critical_acc,radio_tv,1898,NO_SAVINGS_ACC,1to4YR,1,MALE_SINGLE,none,2,real_estate,34,none,own,2,unskilled_res,2,none,yes,0
NO_CHECK_A,24,critical_acc,radio_tv,2872,100_500DM,GT_7YR,3,MALE_SINGLE,none,4,real_estate,36,none,own,1,skilled_office,2,yes,yes,0
