Store,Day Of Week,Date,Customers,Open,Promotion,State Holiday,School Holiday
1032,6,5/29/2016,555,1,0,0,0
1024,6,5/29/2016,894,1,0,0,0
1006,6,5/29/2016,203,1,0,0,0
1007,6,5/29/2016,895,1,0,0,0
1002,6,5/29/2016,624,1,0,0,0
1019,6,5/29/2016,845,1,0,0,0
1000,6,5/29/2016,917,1,0,0,0
1009,6,5/29/2016,780,1,0,0,0
1023,6,5/29/2016,396,1,0,0,0
1016,6,5/29/2016,3358,1,0,0,0
1050,6,5/29/2016,484,1,0,0,0
1031,6,5/29/2016,387,1,0,0,0
1010,6,5/29/2016,481,1,0,0,0
1034,6,5/29/2016,445,1,0,0,0
1039,6,5/29/2016,539,1,0,0,0
1033,6,5/29/2016,298,1,0,0,0
1045,6,5/29/2016,349,1,0,0,0
1015,6,5/29/2016,743,1,0,0,0
1022,6,5/29/2016,449,1,0,0,0
1040,6,5/29/2016,241,1,0,0,0
1046,6,5/29/2016,840,1,0,0,0
1021,6,5/29/2016,345,1,0,0,0
1028,6,5/29/2016,531,1,0,0,0
1008,6,5/29/2016,481,1,0,0,0
1025,6,5/29/2016,640,1,0,0,0
1014,6,5/29/2016,480,1,0,0,0
1020,6,5/29/2016,1158,1,0,0,0
1038,6,5/29/2016,303,1,0,0,0
1003,6,5/29/2016,778,1,0,0,0
1018,6,5/29/2016,1109,1,0,0,0
1026,6,5/29/2016,379,1,0,0,0
1049,6,5/29/2016,901,1,0,0,0
1044,5,5/28/2016,627,1,0,0,0
1041,5,5/28/2016,812,1,0,0,1
1036,5,5/28/2016,893,1,0,0,0
1047,5,5/28/2016,1724,1,0,0,0
1012,5,5/28/2016,990,1,0,0,0
1037,5,5/28/2016,656,1,0,0,1
1027,5,5/28/2016,790,1,0,0,0
1005,5,5/28/2016,618,1,0,0,0
1011,5,5/28/2016,2768,1,0,0,0
1004,5,5/28/2016,869,1,0,0,0
1043,5,5/28/2016,528,1,0,0,1
1001,5,5/28/2016,710,1,0,0,1
1048,5,5/28/2016,848,1,0,0,0
1030,5,5/28/2016,529,1,0,0,0
1035,5,5/28/2016,741,1,0,0,1
1013,5,5/28/2016,645,1,0,0,0
1029,5,5/28/2016,494,1,0,0,0
1042,5,5/28/2016,914,1,0,0,0
1017,5,5/28/2016,1231,1,0,0,1
1032,5,5/28/2016,513,1,0,0,0
1024,5,5/28/2016,962,1,0,0,0
1006,5,5/28/2016,314,1,0,0,1
1007,5,5/28/2016,727,1,0,0,1
1002,5,5/28/2016,696,1,0,0,1
1019,5,5/28/2016,1011,1,0,0,0
1000,5,5/28/2016,739,1,0,0,1
1009,5,5/28/2016,1381,1,0,0,0
1023,5,5/28/2016,361,1,0,0,1
1016,5,5/28/2016,3736,1,0,0,0
1050,5,5/28/2016,497,1,0,0,0
1031,5,5/28/2016,591,1,0,0,1
1010,5,5/28/2016,580,1,0,0,0
1034,5,5/28/2016,564,1,0,0,0
1039,5,5/28/2016,591,1,0,0,0
1033,5,5/28/2016,452,1,0,0,0
1045,5,5/28/2016,1119,1,0,0,0
1015,5,5/28/2016,882,1,0,0,0
1022,5,5/28/2016,699,1,0,0,0
1040,5,5/28/2016,373,1,0,0,0
1046,5,5/28/2016,1198,1,0,0,0
1021,5,5/28/2016,644,1,0,0,0
1028,5,5/28/2016,811,1,0,0,0
1008,5,5/28/2016,805,1,0,0,0
1025,5,5/28/2016,635,1,0,0,1
1014,5,5/28/2016,679,1,0,0,0
1020,5,5/28/2016,974,1,0,0,0
1038,5,5/28/2016,433,1,0,0,1
1003,5,5/28/2016,882,1,0,0,0
1018,5,5/28/2016,1171,1,0,0,0
1026,5,5/28/2016,591,1,0,0,0
1049,5,5/28/2016,1058,1,0,0,0
1044,4,5/27/2016,573,1,0,0,0
1041,4,5/27/2016,812,1,0,0,1
1036,4,5/27/2016,769,1,0,0,0
1047,4,5/27/2016,1508,1,0,0,0
1012,4,5/27/2016,941,1,0,0,0
1037,4,5/27/2016,592,1,0,0,1
1027,4,5/27/2016,807,1,0,0,0
1005,4,5/27/2016,582,1,0,0,0
1011,4,5/27/2016,2430,1,0,0,0
1004,4,5/27/2016,941,1,0,0,0
1043,4,5/27/2016,458,1,0,0,1
1001,4,5/27/2016,639,1,0,0,1
1048,4,5/27/2016,796,1,0,0,0
1030,4,5/27/2016,433,1,0,0,0
1035,4,5/27/2016,553,1,0,0,1
1013,4,5/27/2016,513,1,0,0,0
1029,4,5/27/2016,436,1,0,0,0
1042,4,5/27/2016,844,1,0,0,0
1017,4,5/27/2016,1054,1,0,0,1
1032,4,5/27/2016,491,1,0,0,0
1024,4,5/27/2016,757,1,0,0,0
1006,4,5/27/2016,291,1,0,0,1
1007,4,5/27/2016,589,1,0,0,1
1002,4,5/27/2016,647,1,0,0,1
1019,4,5/27/2016,759,1,0,0,0
1000,4,5/27/2016,676,1,0,0,1
1009,4,5/27/2016,1503,1,0,0,0
1023,4,5/27/2016,295,1,0,0,1
1016,4,5/27/2016,3214,1,0,0,0
1050,4,5/27/2016,492,1,0,0,0
1031,4,5/27/2016,597,1,0,0,1
1010,4,5/27/2016,501,1,0,0,0
1034,4,5/27/2016,485,1,0,0,0
1039,4,5/27/2016,478,1,0,0,0
1033,4,5/27/2016,448,1,0,0,0
1045,4,5/27/2016,1169,1,0,0,0
1015,4,5/27/2016,796,1,0,0,0
1022,4,5/27/2016,513,1,0,0,0
1040,4,5/27/2016,305,1,0,0,0
1046,4,5/27/2016,1157,1,0,0,0
1021,4,5/27/2016,552,1,0,0,0
1028,4,5/27/2016,619,1,0,0,0
1008,4,5/27/2016,652,1,0,0,0
1025,4,5/27/2016,574,1,0,0,1
1014,4,5/27/2016,654,1,0,0,0
1020,4,5/27/2016,710,1,0,0,0
1038,4,5/27/2016,428,1,0,0,1
1003,4,5/27/2016,813,1,0,0,0
1018,4,5/27/2016,1030,1,0,0,0
1026,4,5/27/2016,540,1,0,0,0
1049,4,5/27/2016,952,1,0,0,0
1044,3,5/26/2016,582,1,0,0,0
1041,3,5/26/2016,855,1,0,0,1
1036,3,5/26/2016,775,1,0,0,0
1047,3,5/26/2016,1122,1,0,0,0
1012,3,5/26/2016,969,1,0,0,0
1037,3,5/26/2016,597,1,0,0,1
1027,3,5/26/2016,684,1,0,0,0
1005,3,5/26/2016,516,1,0,0,0
1011,3,5/26/2016,2565,1,0,0,0
1004,3,5/26/2016,761,1,0,0,0
1043,3,5/26/2016,416,1,0,0,1
1001,3,5/26/2016,683,1,0,0,1
1048,3,5/26/2016,746,1,0,0,0
1030,3,5/26/2016,451,1,0,0,0
1035,3,5/26/2016,568,1,0,0,1
1013,3,5/26/2016,485,1,0,0,0
1029,3,5/26/2016,411,1,0,0,0
1042,3,5/26/2016,811,1,0,0,0
1017,3,5/26/2016,996,1,0,0,1
1032,3,5/26/2016,395,1,0,0,0
1024,3,5/26/2016,698,1,0,0,0
1006,3,5/26/2016,285,1,0,0,1
1007,3,5/26/2016,580,1,0,0,1
1002,3,5/26/2016,656,1,0,0,1
1019,3,5/26/2016,770,1,0,0,0
1000,3,5/26/2016,713,1,0,0,1
1009,3,5/26/2016,1484,1,0,0,0
1023,3,5/26/2016,302,1,0,0,1
1016,3,5/26/2016,3204,1,0,0,0
1050,3,5/26/2016,532,1,0,0,0
1031,3,5/26/2016,592,1,0,0,1
1010,3,5/26/2016,498,1,0,0,0
1034,3,5/26/2016,506,1,0,0,0
1039,3,5/26/2016,468,1,0,0,0
1033,3,5/26/2016,469,1,0,0,0
1045,3,5/26/2016,908,1,0,0,0
1015,3,5/26/2016,927,1,0,0,0
1022,3,5/26/2016,625,1,0,0,0
1040,3,5/26/2016,344,1,0,0,0
1046,3,5/26/2016,993,1,0,0,0
1021,3,5/26/2016,604,1,0,0,0
1028,3,5/26/2016,639,1,0,0,0
1008,3,5/26/2016,667,1,0,0,0
1025,3,5/26/2016,629,1,0,0,1
1014,3,5/26/2016,577,1,0,0,0
1020,3,5/26/2016,723,1,0,0,0
1038,3,5/26/2016,451,1,0,0,1
1003,3,5/26/2016,805,1,0,0,0
1018,3,5/26/2016,1051,1,0,0,0
1026,3,5/26/2016,456,1,0,0,0
1049,3,5/26/2016,903,1,0,0,0
1044,2,5/25/2016,707,1,0,0,1
1041,2,5/25/2016,910,1,0,0,1
1036,2,5/25/2016,866,1,0,0,0
1047,2,5/25/2016,1716,1,0,0,1
1012,2,5/25/2016,1005,1,0,0,0
1037,2,5/25/2016,625,1,0,0,1
1027,2,5/25/2016,756,1,0,0,0
1005,2,5/25/2016,547,1,0,0,0
1011,2,5/25/2016,2588,1,0,0,0
1004,2,5/25/2016,830,1,0,0,0
1043,2,5/25/2016,469,1,0,0,1
1001,2,5/25/2016,694,1,0,0,1
1048,2,5/25/2016,933,1,0,0,0
1030,2,5/25/2016,501,1,0,0,0
1035,2,5/25/2016,643,1,0,0,1
1013,2,5/25/2016,586,1,0,0,1
1029,2,5/25/2016,407,1,0,0,0
1042,2,5/25/2016,943,1,0,0,1
1017,2,5/25/2016,1234,1,0,0,1
1032,2,5/25/2016,474,1,0,0,0
1024,2,5/25/2016,871,1,0,0,1
1006,2,5/25/2016,330,1,0,0,1
1007,2,5/25/2016,652,1,0,0,1
1002,2,5/25/2016,773,1,0,0,1
1019,2,5/25/2016,868,1,0,0,1
1000,2,5/25/2016,764,1,0,0,1
1009,2,5/25/2016,1610,1,0,0,1
1023,2,5/25/2016,388,1,0,0,1
1016,2,5/25/2016,3461,1,0,0,1
1050,2,5/25/2016,517,1,0,0,1
1031,2,5/25/2016,571,1,0,0,1
1010,2,5/25/2016,509,1,0,0,0
1034,2,5/25/2016,545,1,0,0,0
1039,2,5/25/2016,480,1,0,0,0
1033,2,5/25/2016,508,1,0,0,0
1045,2,5/25/2016,1119,1,0,0,0
1015,2,5/25/2016,945,1,0,0,0
1022,2,5/25/2016,580,1,0,0,1
1040,2,5/25/2016,373,1,0,0,0
1046,2,5/25/2016,1250,1,0,0,0
1021,2,5/25/2016,589,1,0,0,0
1028,2,5/25/2016,701,1,0,0,1
1008,2,5/25/2016,753,1,0,0,1
1025,2,5/25/2016,626,1,0,0,1
1014,2,5/25/2016,686,1,0,0,0
1020,2,5/25/2016,810,1,0,0,0
1038,2,5/25/2016,507,1,0,0,1
1003,2,5/25/2016,982,1,0,0,0
1018,2,5/25/2016,1233,1,0,0,1
1026,2,5/25/2016,541,1,0,0,1
1049,2,5/25/2016,1063,1,0,0,0
1044,1,5/24/2016,0,0,0,a,0
1041,1,5/24/2016,0,0,0,a,0
1036,1,5/24/2016,0,0,0,a,0
1047,1,5/24/2016,0,0,0,a,0
1012,1,5/24/2016,0,0,0,a,0
1037,1,5/24/2016,0,0,0,a,0
1027,1,5/24/2016,0,0,0,a,0
1005,1,5/24/2016,0,0,0,a,0
1011,1,5/24/2016,3516,1,0,a,0
1004,1,5/24/2016,0,0,0,a,0
1043,1,5/24/2016,0,0,0,a,0
1001,1,5/24/2016,0,0,0,a,0
1048,1,5/24/2016,0,0,0,a,0
1030,1,5/24/2016,0,0,0,a,0
1035,1,5/24/2016,0,0,0,a,0
1013,1,5/24/2016,0,0,0,a,0
1029,1,5/24/2016,0,0,0,a,0
1042,1,5/24/2016,0,0,0,a,0
1017,1,5/24/2016,0,0,0,a,0
1032,1,5/24/2016,0,0,0,a,0
1024,1,5/24/2016,0,0,0,a,0
1006,1,5/24/2016,0,0,0,a,0
1007,1,5/24/2016,0,0,0,a,0
1002,1,5/24/2016,0,0,0,a,0
1019,1,5/24/2016,0,0,0,a,0
1000,1,5/24/2016,0,0,0,a,0
1009,1,5/24/2016,0,0,0,a,0
1023,1,5/24/2016,0,0,0,a,0
1016,1,5/24/2016,3574,1,0,a,0
1050,1,5/24/2016,0,0,0,a,0
1031,1,5/24/2016,0,0,0,a,0
1010,1,5/24/2016,0,0,0,a,0
1034,1,5/24/2016,0,0,0,a,0
1039,1,5/24/2016,0,0,0,a,0
1033,1,5/24/2016,0,0,0,a,0
1045,1,5/24/2016,0,0,0,a,0
1015,1,5/24/2016,0,0,0,a,0
1022,1,5/24/2016,0,0,0,a,0
1040,1,5/24/2016,0,0,0,a,0
1046,1,5/24/2016,0,0,0,a,0
1021,1,5/24/2016,0,0,0,a,0
1028,1,5/24/2016,0,0,0,a,0
1008,1,5/24/2016,0,0,0,a,0
1025,1,5/24/2016,0,0,0,a,0
1014,1,5/24/2016,0,0,0,a,0
1020,1,5/24/2016,0,0,0,a,0
1038,1,5/24/2016,0,0,0,a,0
1003,1,5/24/2016,0,0,0,a,0
1018,1,5/24/2016,0,0,0,a,0
1026,1,5/24/2016,0,0,0,a,0
1049,1,5/24/2016,0,0,0,a,0
1044,7,5/23/2016,0,0,0,0,0
1041,7,5/23/2016,0,0,0,0,0
1036,7,5/23/2016,0,0,0,0,0
1047,7,5/23/2016,0,0,0,0,0
1012,7,5/23/2016,0,0,0,0,0
1037,7,5/23/2016,0,0,0,0,0
1027,7,5/23/2016,0,0,0,0,0
1005,7,5/23/2016,0,0,0,0,0
1011,7,5/23/2016,3016,1,0,0,0
1004,7,5/23/2016,0,0,0,0,0
1043,7,5/23/2016,0,0,0,0,0
1001,7,5/23/2016,0,0,0,0,0
1048,7,5/23/2016,0,0,0,0,0
1030,7,5/23/2016,0,0,0,0,0
1035,7,5/23/2016,0,0,0,0,0
1013,7,5/23/2016,0,0,0,0,0
1029,7,5/23/2016,0,0,0,0,0
1042,7,5/23/2016,0,0,0,0,0
1017,7,5/23/2016,0,0,0,0,0
1032,7,5/23/2016,0,0,0,0,0
1024,7,5/23/2016,0,0,0,0,0
1006,7,5/23/2016,0,0,0,0,0
1007,7,5/23/2016,0,0,0,0,0
1002,7,5/23/2016,0,0,0,0,0
1019,7,5/23/2016,0,0,0,0,0
1000,7,5/23/2016,0,0,0,0,0
1009,7,5/23/2016,0,0,0,0,0
1023,7,5/23/2016,0,0,0,0,0
1016,7,5/23/2016,3338,1,0,0,0
1050,7,5/23/2016,0,0,0,0,0
1031,7,5/23/2016,0,0,0,0,0
1010,7,5/23/2016,0,0,0,0,0
1034,7,5/23/2016,0,0,0,0,0
1039,7,5/23/2016,0,0,0,0,0
1033,7,5/23/2016,0,0,0,0,0
1045,7,5/23/2016,0,0,0,0,0
1015,7,5/23/2016,0,0,0,0,0
1022,7,5/23/2016,0,0,0,0,0
1040,7,5/23/2016,0,0,0,0,0
1046,7,5/23/2016,0,0,0,0,0
1021,7,5/23/2016,0,0,0,0,0
1028,7,5/23/2016,0,0,0,0,0
1008,7,5/23/2016,0,0,0,0,0
1025,7,5/23/2016,0,0,0,0,0
1014,7,5/23/2016,0,0,0,0,0
1020,7,5/23/2016,0,0,0,0,0
1038,7,5/23/2016,0,0,0,0,0
1003,7,5/23/2016,0,0,0,0,0
1018,7,5/23/2016,0,0,0,0,0
1026,7,5/23/2016,0,0,0,0,0
1049,7,5/23/2016,0,0,0,0,0
1044,6,5/22/2016,569,1,0,0,0
1041,6,5/22/2016,568,1,0,0,0
1036,6,5/22/2016,331,1,0,0,0
1047,6,5/22/2016,1295,1,0,0,0
1012,6,5/22/2016,418,1,0,0,0
1037,6,5/22/2016,736,1,0,0,0
1027,6,5/22/2016,351,1,0,0,0
1005,6,5/22/2016,563,1,0,0,0
1011,6,5/22/2016,2242,1,0,0,0
1004,6,5/22/2016,630,1,0,0,0
1043,6,5/22/2016,516,1,0,0,0
1001,6,5/22/2016,776,1,0,0,0
1048,6,5/22/2016,528,1,0,0,0
1030,6,5/22/2016,601,1,0,0,0
1035,6,5/22/2016,732,1,0,0,0
1013,6,5/22/2016,388,1,0,0,0
1029,6,5/22/2016,288,1,0,0,0
1042,6,5/22/2016,725,1,0,0,0
1017,6,5/22/2016,1118,1,0,0,0
1032,6,5/22/2016,467,1,0,0,0
1024,6,5/22/2016,754,1,0,0,0
1006,6,5/22/2016,223,1,0,0,0
1007,6,5/22/2016,826,1,0,0,0
1002,6,5/22/2016,625,1,0,0,0
1019,6,5/22/2016,727,1,0,0,0
1000,6,5/22/2016,905,1,0,0,0
1009,6,5/22/2016,805,1,0,0,0
1023,6,5/22/2016,471,1,0,0,0
1016,6,5/22/2016,3193,1,0,0,0
1050,6,5/22/2016,505,1,0,0,0
1031,6,5/22/2016,402,1,0,0,0
1010,6,5/22/2016,423,1,0,0,0
1034,6,5/22/2016,422,1,0,0,0
1039,6,5/22/2016,507,1,0,0,0
1033,6,5/22/2016,263,1,0,0,0
1045,6,5/22/2016,341,1,0,0,0
1015,6,5/22/2016,726,1,0,0,0
1022,6,5/22/2016,365,1,0,0,0
1040,6,5/22/2016,228,1,0,0,0
1046,6,5/22/2016,684,1,0,0,0
1021,6,5/22/2016,329,1,0,0,0
1028,6,5/22/2016,509,1,0,0,0
1008,6,5/22/2016,505,1,0,0,0
1025,6,5/22/2016,716,1,0,0,0
1014,6,5/22/2016,398,1,0,0,0
1020,6,5/22/2016,968,1,0,0,0
1038,6,5/22/2016,362,1,0,0,0
1003,6,5/22/2016,750,1,0,0,0
1018,6,5/22/2016,1052,1,0,0,0
1026,6,5/22/2016,359,1,0,0,0
1049,6,5/22/2016,861,1,0,0,0
1044,5,5/21/2016,686,1,1,0,0
1041,5,5/21/2016,972,1,1,0,0
1036,5,5/21/2016,766,1,1,0,0
1047,5,5/21/2016,1497,1,1,0,0
1012,5,5/21/2016,885,1,1,0,1
1037,5,5/21/2016,660,1,1,0,0
1027,5,5/21/2016,744,1,1,0,0
1005,5,5/21/2016,576,1,1,0,0
1011,5,5/21/2016,2634,1,1,0,0
1004,5,5/21/2016,903,1,1,0,0
1043,5,5/21/2016,517,1,1,0,0
1001,5,5/21/2016,775,1,1,0,0
1048,5,5/21/2016,843,1,1,0,0
1030,5,5/21/2016,605,1,1,0,0
1035,5,5/21/2016,718,1,1,0,0
1013,5,5/21/2016,552,1,1,0,0
1029,5,5/21/2016,500,1,1,0,0
1042,5,5/21/2016,781,1,1,0,0
1017,5,5/21/2016,1168,1,1,0,0
1032,5,5/21/2016,540,1,1,0,1
1024,5,5/21/2016,740,1,1,0,0
1006,5,5/21/2016,390,1,1,0,0
1007,5,5/21/2016,705,1,1,0,0
1002,5,5/21/2016,814,1,1,0,0
1019,5,5/21/2016,866,1,1,0,0
1000,5,5/21/2016,882,1,1,0,0
1009,5,5/21/2016,1360,1,1,0,0
1023,5,5/21/2016,465,1,1,0,0
1016,5,5/21/2016,3693,1,1,0,0
1050,5,5/21/2016,555,1,1,0,0
1031,5,5/21/2016,657,1,1,0,0
1010,5,5/21/2016,566,1,1,0,0
1034,5,5/21/2016,544,1,1,0,0
1039,5,5/21/2016,467,1,1,0,0
1033,5,5/21/2016,490,1,1,0,0
1045,5,5/21/2016,950,1,1,0,1
1015,5,5/21/2016,804,1,1,0,0
1022,5,5/21/2016,672,1,1,0,0
1040,5,5/21/2016,413,1,1,0,0
1046,5,5/21/2016,1055,1,1,0,0
1021,5,5/21/2016,638,1,1,0,0
1028,5,5/21/2016,796,1,1,0,0
1008,5,5/21/2016,777,1,1,0,0
1025,5,5/21/2016,713,1,1,0,0
1014,5,5/21/2016,644,1,1,0,0
1020,5,5/21/2016,844,1,1,0,0
1038,5,5/21/2016,516,1,1,0,0
1003,5,5/21/2016,891,1,1,0,0
1018,5,5/21/2016,1088,1,1,0,0
1026,5,5/21/2016,536,1,1,0,0
1049,5,5/21/2016,1002,1,1,0,0
1044,4,5/20/2016,649,1,1,0,0
1041,4,5/20/2016,971,1,1,0,0
1036,4,5/20/2016,791,1,1,0,0
1047,4,5/20/2016,1547,1,1,0,0
1012,4,5/20/2016,903,1,1,0,1
1037,4,5/20/2016,705,1,1,0,0
1027,4,5/20/2016,890,1,1,0,0
1005,4,5/20/2016,630,1,1,0,0
1011,4,5/20/2016,2611,1,1,0,0
1004,4,5/20/2016,1022,1,1,0,0
1043,4,5/20/2016,533,1,1,0,0
1001,4,5/20/2016,806,1,1,0,0
1048,4,5/20/2016,892,1,1,0,0
1030,4,5/20/2016,503,1,1,0,0
1035,4,5/20/2016,726,1,1,0,0
1013,4,5/20/2016,562,1,1,0,0
1029,4,5/20/2016,478,1,1,0,0
1042,4,5/20/2016,936,1,1,0,0
1017,4,5/20/2016,1120,1,1,0,0
1032,4,5/20/2016,562,1,1,0,1
1024,4,5/20/2016,849,1,1,0,0
1006,4,5/20/2016,358,1,1,0,0
1007,4,5/20/2016,690,1,1,0,0
1002,4,5/20/2016,719,1,1,0,0
1019,4,5/20/2016,844,1,1,0,0
1000,4,5/20/2016,783,1,1,0,0
1009,4,5/20/2016,1453,1,1,0,0
1023,4,5/20/2016,394,1,1,0,0
1016,4,5/20/2016,2991,1,1,0,0
1050,4,5/20/2016,646,1,1,0,0
1031,4,5/20/2016,649,1,1,0,0
1010,4,5/20/2016,541,1,1,0,0
1034,4,5/20/2016,544,1,1,0,0
1039,4,5/20/2016,486,1,1,0,0
1033,4,5/20/2016,483,1,1,0,0
1045,4,5/20/2016,1204,1,1,0,1
1015,4,5/20/2016,899,1,1,0,0
1022,4,5/20/2016,630,1,1,0,0
1040,4,5/20/2016,397,1,1,0,0
1046,4,5/20/2016,1225,1,1,0,0
1021,4,5/20/2016,623,1,1,0,0
1028,4,5/20/2016,655,1,1,0,0
1008,4,5/20/2016,709,1,1,0,0
1025,4,5/20/2016,660,1,1,0,0
1014,4,5/20/2016,657,1,1,0,0
1020,4,5/20/2016,776,1,1,0,0
1038,4,5/20/2016,462,1,1,0,0
1003,4,5/20/2016,907,1,1,0,0
1018,4,5/20/2016,1086,1,1,0,0
1026,4,5/20/2016,549,1,1,0,0
1049,4,5/20/2016,1014,1,1,0,0
1044,3,5/19/2016,682,1,1,0,0
1041,3,5/19/2016,966,1,1,0,0
1036,3,5/19/2016,862,1,1,0,0
1047,3,5/19/2016,1467,1,1,0,0
1012,3,5/19/2016,1103,1,1,0,1
1037,3,5/19/2016,571,1,1,0,0
1027,3,5/19/2016,727,1,1,0,0
1005,3,5/19/2016,549,1,1,0,0
1011,3,5/19/2016,2673,1,1,0,0
1004,3,5/19/2016,946,1,1,0,0
1043,3,5/19/2016,486,1,1,0,0
1001,3,5/19/2016,584,1,1,0,0
1048,3,5/19/2016,781,1,1,0,0
1030,3,5/19/2016,475,1,1,0,0
1035,3,5/19/2016,825,1,1,0,0
1013,3,5/19/2016,524,1,1,0,0
