Month,Quantity
01-07-1974,130
01-08-1974,150.1
01-09-1974,169.4
01-10-1974,179.7
01-11-1974,182.1
01-12-1974,194.3
01-01-1975,161.4
01-02-1975,169.4
01-03-1975,168.8
01-04-1975,158.1
01-05-1975,158.5
01-06-1975,135.3
01-07-1975,149.3
01-08-1975,143.4
01-09-1975,142.2
01-10-1975,188.4
01-11-1975,166.2
01-12-1975,199.2
01-01-1976,182.7
01-02-1976,145.2
01-03-1976,182.1
01-04-1976,158.7
01-05-1976,141.6
01-06-1976,132.6
01-07-1976,139.6
01-08-1976,147
01-09-1976,166.6
01-10-1976,157
01-11-1976,180.4
01-12-1976,210.2
01-01-1977,159.8
01-02-1977,157.8
01-03-1977,168.2
01-04-1977,158.4
01-05-1977,152
01-06-1977,142.2
01-07-1977,137.2
01-08-1977,152.6
01-09-1977,166.8
01-10-1977,165.6
01-11-1977,198.6
01-12-1977,201.5
01-01-1978,170.7
01-02-1978,164.4
01-03-1978,179.7
01-04-1978,157
01-05-1978,168
01-06-1978,139.3
01-07-1978,138.6
01-08-1978,153.4
01-09-1978,138.9
01-10-1978,172.1
01-11-1978,198.4
01-12-1978,217.8
01-01-1979,173.7
01-02-1979,153.8
01-03-1979,175.6
01-04-1979,147.1
01-05-1979,160.3
01-06-1979,135.2
01-07-1979,148.8
01-08-1979,151
01-09-1979,148.2
01-10-1979,182.2
01-11-1979,189.2
01-12-1979,183.1
01-01-1980,170
01-02-1980,158.4
01-03-1980,176.1
01-04-1980,156.2
01-05-1980,153.2
01-06-1980,117.9
01-07-1980,149.8
01-08-1980,156.6
01-09-1980,166.7
01-10-1980,156.8
01-11-1980,158.6
01-12-1980,210.8
01-01-1981,203.6
01-02-1981,175.2
01-03-1981,168.7
01-04-1981,155.9
01-05-1981,147.3
01-06-1981,137
01-07-1981,141.1
01-08-1981,167.4
01-09-1981,160.2
01-10-1981,191.9
01-11-1981,174.4
01-12-1981,208.2
01-01-1982,159.4
01-02-1982,161.1
01-03-1982,172.1
01-04-1982,158.4
01-05-1982,114.6
01-06-1982,159.6
01-07-1982,159.7
01-08-1982,159.4
01-09-1982,160.7
01-10-1982,165.5
01-11-1982,205
01-12-1982,205.2
01-01-1983,141.6
01-02-1983,148.1
01-03-1983,184.9
01-04-1983,132.5
01-05-1983,137.3
01-06-1983,135.5
01-07-1983,121.7
01-08-1983,166.1
01-09-1983,146.8
01-10-1983,162.8
01-11-1983,186.8
01-12-1983,185.5
01-01-1984,151.5
01-02-1984,158.1
01-03-1984,143
01-04-1984,151.2
01-05-1984,147.6
01-06-1984,130.7
01-07-1984,137.5
01-08-1984,146.1
01-09-1984,133.6
01-10-1984,167.9
01-11-1984,181.9
01-12-1984,202
01-01-1985,166.5
01-02-1985,151.3
01-03-1985,146.2
01-04-1985,148.3
01-05-1985,144.7
01-06-1985,123.6
01-07-1985,151.6
01-08-1985,133.9
01-09-1985,137.4
01-10-1985,181.6
01-11-1985,182
01-12-1985,190
01-01-1986,161.2
01-02-1986,155.5
01-03-1986,141.9
01-04-1986,164.6
01-05-1986,136.2
01-06-1986,126.8
01-07-1986,152.5
01-08-1986,126.6
01-09-1986,150.1
01-10-1986,186.3
01-11-1986,147.5
01-12-1986,200.4
01-01-1987,177.2
01-02-1987,127.4
01-03-1987,177.1
01-04-1987,154.4
01-05-1987,135.2
01-06-1987,126.4
01-07-1987,147.3
01-08-1987,140.6
01-09-1987,152.3
01-10-1987,151.2
01-11-1987,172.2
01-12-1987,215.3
01-01-1988,154.1
01-02-1988,159.3
01-03-1988,160.4
01-04-1988,151.9
01-05-1988,148.4
01-06-1988,139.6
01-07-1988,148.2
01-08-1988,153.5
01-09-1988,145.1
01-10-1988,183.7
01-11-1988,210.5
01-12-1988,203.3
01-01-1989,153.3
01-02-1989,144.3
01-03-1989,169.6
01-04-1989,143.7
01-05-1989,160.1
01-06-1989,135.6
01-07-1989,141.8
01-08-1989,159.9
01-09-1989,145.7
01-10-1989,183.5
01-11-1989,198.2
01-12-1989,186.8
01-01-1990,172
01-02-1990,150.6
01-03-1990,163.3
01-04-1990,153.7
01-05-1990,152.9
01-06-1990,135.5
01-07-1990,148.5
01-08-1990,148.4
01-09-1990,133.6
01-10-1990,194.1
01-11-1990,208.6
01-12-1990,197.3
01-01-1991,164.4
01-02-1991,148.1
01-03-1991,152
01-04-1991,144.1
01-05-1991,155
01-06-1991,124.5
01-07-1991,153
01-08-1991,146
01-09-1991,138
01-10-1991,190
01-11-1991,192
01-12-1991,192
01-01-1992,147
01-02-1992,133
01-03-1992,163
01-04-1992,150
01-05-1992,129
01-06-1992,131
01-07-1992,145
01-08-1992,137
01-09-1992,138
01-10-1992,168
01-11-1992,176
01-12-1992,188
01-01-1993,139
01-02-1993,143
01-03-1993,150
01-04-1993,154
01-05-1993,137
01-06-1993,129
01-07-1993,128
01-08-1993,140
01-09-1993,143
01-10-1993,151
01-11-1993,177
01-12-1993,184
01-01-1994,151
01-02-1994,134
01-03-1994,164
01-04-1994,126
01-05-1994,131
01-06-1994,125
01-07-1994,127
01-08-1994,143
01-09-1994,143
01-10-1994,160
01-11-1994,190
01-12-1994,182
01-01-1995,138
01-02-1995,136
01-03-1995,152
01-04-1995,127
01-05-1995,151
01-06-1995,130
01-07-1995,119
01-08-1995,153
